Road Name,Asset ID (Identifier),Easting (Location/Map Coordinates),Northing (Location/Map Coordinates),Monument Type,Description,Geometry
PARK 12 - NORTH TERRACE,400,281084.4942,6133073.735,Plaque,George Elton Mayo,POINT (15429271.8980722 -4153177.73881372)
PARK 12 - NORTH TERRACE,402,281091.9214,6133074.344,Plaque,Sir John Melrose,POINT (15429280.9598053 -4153177.2112923)
PARK 12 - NORTH TERRACE,403,281095.6611,6133074.588,Plaque,Adelaide Laetitia Miethke,POINT (15429285.5206794 -4153177.02266408)
PARK 12 - NORTH TERRACE,404,281098.9406,6133074.86,Plaque,May Mills,POINT (15429289.5219877 -4153176.78654378)
PARK 12 - NORTH TERRACE,405,281102.447,6133075.493,Plaque,Dame Roma Mitchell,POINT (15429293.8101327 -4153176.11488458)
PARK 12 - NORTH TERRACE,406,281110.2209,6133076.345,Plaque,Sir William Mitchell,POINT (15429303.3011167 -4153175.3005115)
PARK 12 - NORTH TERRACE,407,281114.6661,6133076.746,Plaque,Daniel Moriarty,POINT (15429308.7256554 -4153174.94001454)
PARK 12 - NORTH TERRACE,408,281117.9959,6133076.698,Plaque,William Ranson Mortlock,POINT (15429312.778887 -4153175.09641619)
PARK 12 - NORTH TERRACE,409,281121.0987,6133077.191,Plaque,Charles Pearcy Mountford,POINT (15429316.5714792 -4153174.58465951)
PARK 12 - NORTH TERRACE,410,281125.5591,6133077.709,Plaque,William Muirden,POINT (15429322.0179562 -4153174.08075326)
PARK 12 - NORTH TERRACE,411,281129.3643,6133078.018,Plaque,Sir Mellis Napier,POINT (15429326.6604774 -4153173.81476393)
PARK 12 - NORTH TERRACE,412,281132.0162,6133077.973,Plaque,Nelson,POINT (15429329.8883248 -4153173.94787249)
PARK 12 - NORTH TERRACE,413,281135.081,6133078.236,Plaque,Paris Nesbit,POINT (15429333.6279623 -4153173.71523138)
PARK 12 - NORTH TERRACE,414,281138.3538,6133078.226,Plaque,Sir Henry Newland,POINT (15429337.6128772 -4153173.82420629)
PARK 12 - NORTH TERRACE,415,281142.158,6133078.64,Plaque,Eldred Norman,POINT (15429342.2572662 -4153173.42876671)
PARK 12 - NORTH TERRACE,416,281145.6393,6133079.229,Plaque,sir Mark Oliphant,POINT (15429346.5135462 -4153172.81078406)
PARK 12 - NORTH TERRACE,417,281152.7693,6133079.913,Plaque,sir Thomas Playford,POINT (15429355.21557 -4153172.18263251)
PARK 12 - NORTH TERRACE,418,281160.0505,6133080.564,Plaque,James Arthur Prescott,POINT (15429364.100753 -4153171.59890211)
PARK 12 - NORTH TERRACE,419,281164.1507,6133080.911,Plaque,Margaret Rose Preston,POINT (15429369.1036088 -4153171.29456612)
PARK 12 - NORTH TERRACE,420,281167.6336,6133081.407,Plaque,Tom Price,POINT (15429373.3591349 -4153170.78988821)
PARK 12 - NORTH TERRACE,421,281170.6627,6133081.509,Plaque,Alexander Maurice Ramsay,POINT (15429377.0505641 -4153170.75483404)
PARK 12 - NORTH TERRACE,422,281173.8613,6133082.153,Plaque,William Richard Randell,POINT (15429380.9642189 -4153170.06079168)
PARK 12 - NORTH TERRACE,423,281176.6803,6133082.353,Plaque,Arnold Edwin Victor Richardson,POINT (15429384.4027175 -4153169.89775002)
PARK 12 - NORTH TERRACE,424,281179.854,6133082.735,Plaque,Victor York Richardson,POINT (15429388.2784056 -4153169.52369833)
PARK 12 - NORTH TERRACE,425,281183.2505,6133082.972,Plaque,John Ridley,POINT (15429392.421156 -4153169.33390224)
PARK 12 - NORTH TERRACE,426,281187.0498,6133083.201,Plaque,Luther Robert Scammel,POINT (15429397.0541783 -4153169.16471016)
PARK 12 - NORTH TERRACE,427,281191.3025,6133083.586,Plaque,Richard Moritz Schomburgk,POINT (15429402.2438285 -4153168.81871151)
PARK 12 - NORTH TERRACE,428,281195.1825,6133083.793,Plaque,Adolf John Schulz,POINT (15429406.9744877 -4153168.67830011)
PARK 12 - NORTH TERRACE,429,281198.7898,6133083.829,Plaque,Alexandrina Seager,POINT (15429411.3680759 -4153168.74004491)
PARK 12 - NORTH TERRACE,430,281202.3567,6133084.054,Plaque,Ronald Max'y Sharpe,POINT (15429415.717972 -4153168.56978711)
PARK 12 - NORTH TERRACE,431,281205.2444,6133084.467,Plaque,David Shearer,POINT (15429419.2463207 -4153168.14881708)
PARK 12 - NORTH TERRACE,432,281209.3989,6133084.621,Plaque,Augustus Short,POINT (15429424.3096559 -4153168.08261309)
PARK 12 - NORTH TERRACE,433,281213.2679,6133084.776,Plaque,Alfred Muller Simpson,POINT (15429429.0254015 -4153168.00559873)
PARK 12 - NORTH TERRACE,451,281278.698,6133090.358,Plaque,Sir Robert Torrens,POINT (15429508.8611284 -4153163.09408382)
PARK 12 - NORTH TERRACE,452,281282.7203,6133090.653,Plaque,David Unaipon,POINT (15429513.7676067 -4153162.85100785)
PARK 12 - NORTH TERRACE,444,281253.65,6133088.267,Plaque,Charles Sturt,POINT (15429478.2996807 -4153164.91898239)
PARK 12 - NORTH TERRACE,437,281227.2859,6133085.812,Plaque,Catherine Helen Spence,POINT (15429446.1250452 -4153167.14964149)
PARK 12 - NORTH TERRACE,435,281218.6818,6133085.088,Plaque,Smith,POINT (15429435.6269029 -4153167.7825198)
PARK 12 - NORTH TERRACE,480,281303.4269,6133091.882,Plaque,Sir Samuel Way,POINT (15429539.017475 -4153161.95367957)
PARK 12 - NORTH TERRACE,481,281307.0319,6133092.23,Plaque,Lawrence Allen Wells,POINT (15429543.4173384 -4153161.63440041)
PARK 12 - NORTH TERRACE,482,281311.0776,6133092.69,Plaque,Jochim Matthias Wendt,POINT (15429548.3571183 -4153161.19016632)
PARK 12 - NORTH TERRACE,483,281312.7589,6133092.83,Plaque,Sir George Hubert Wilkins,POINT (15429550.408492 -4153161.06789305)
PARK 12 - NORTH TERRACE,484,281314.9826,6133093.249,Plaque,Sir Kenneth Wills,POINT (15429553.1284726 -4153160.61998057)
PARK 12 - NORTH TERRACE,485,281316.7224,6133093.413,Plaque,E.J. Woods,POINT (15429555.2517625 -4153160.47079608)
PARK 12 - NORTH TERRACE,486,281318.4909,6133093.539,Plaque,Edmund William Wright,POINT (15429557.4089041 -4153160.36844361)
PARK 12 - NORTH TERRACE,487,281321.724,6133093.766,Plaque,The Jubilee 150 Board,POINT (15429561.3524082 -4153160.18529894)
PARK 12 - NORTH TERRACE,374,280993.1619,6133066.101,Plaque,Sir Edward Hayward,POINT (15429160.4617109 -4153184.39964738)
